,solver,status,objective,runtime,resources,size,instance_id
0,cpoptimizer,Optimal,170.0,0.05,renewable,1,0
1,cpoptimizer,Optimal,170.0,0.15,flexible_machines,1,0
2,ortools,Optimal,170.0,0.039589,renewable,1,0
3,ortools,Optimal,170.0,0.12444200000000001,flexible_machines,1,0
4,cpoptimizer,Optimal,187.0,0.04,renewable,1,1
5,cpoptimizer,Optimal,187.0,0.02,flexible_machines,1,1
6,ortools,Optimal,187.0,0.009626000000000001,renewable,1,1
7,ortools,Optimal,187.0,0.050417000000000003,flexible_machines,1,1
8,cpoptimizer,Optimal,221.0,0.04,renewable,1,2
9,cpoptimizer,Optimal,221.0,0.02,flexible_machines,1,2
10,ortools,Optimal,221.0,0.023986,renewable,1,2
11,ortools,Optimal,221.0,0.061956000000000004,flexible_machines,1,2
12,cpoptimizer,Optimal,207.0,0.02,renewable,1,3
13,cpoptimizer,Optimal,207.0,0.05,flexible_machines,1,3
14,ortools,Optimal,207.0,0.011930000000000001,renewable,1,3
15,ortools,Optimal,207.0,0.074199,flexible_machines,1,3
16,cpoptimizer,Optimal,147.0,0.02,renewable,1,4
17,cpoptimizer,Optimal,147.0,0.03,flexible_machines,1,4
18,ortools,Optimal,147.0,0.016797,renewable,1,4
19,ortools,Optimal,147.0,0.053778000000000006,flexible_machines,1,4
20,cpoptimizer,Optimal,271.0,0.0699999,renewable,5,0
21,cpoptimizer,Optimal,271.0,7.71,flexible_machines,5,0
22,ortools,Optimal,271.0,0.08863700000000001,renewable,5,0
23,ortools,Optimal,271.0,11.102068000000001,flexible_machines,5,0
24,cpoptimizer,Optimal,349.0,0.79,renewable,5,1
25,cpoptimizer,Optimal,349.0,52.61,flexible_machines,5,1
26,ortools,Optimal,349.0,0.12155900000000001,renewable,5,1
27,ortools,Optimal,349.0,40.283618000000004,flexible_machines,5,1
28,cpoptimizer,Optimal,295.0,1.7,renewable,5,2
29,cpoptimizer,Feasible,295.0,60.03,flexible_machines,5,2
30,ortools,Optimal,295.0,0.11566000000000001,renewable,5,2
31,ortools,Optimal,295.0,38.740103000000005,flexible_machines,5,2
32,cpoptimizer,Optimal,301.0,0.52,renewable,5,3
33,cpoptimizer,Optimal,301.0,7.81,flexible_machines,5,3
34,ortools,Optimal,301.0,0.040735,renewable,5,3
35,ortools,Optimal,301.0,0.878927,flexible_machines,5,3
36,cpoptimizer,Optimal,309.0,39.27,renewable,5,4
37,cpoptimizer,Feasible,309.0,60.08,flexible_machines,5,4
38,ortools,Optimal,309.0,12.554563,renewable,5,4
39,ortools,Time-limit,inf,60.022577000000005,flexible_machines,5,4
40,cpoptimizer,Feasible,407.0,60.12,renewable,10,0
41,cpoptimizer,Feasible,414.0,60.11,flexible_machines,10,0
