Replication Id,Gantt ID,ID,Unit,Equipment ID,Equipment,Equipment type,Enzyme,SKU,Batch ID,Subbatch ID,Claim time,Release time,Start use,End use,Weight in (kg),Weight out (kg),Capacity available (kg),Time booked (hrs),Time used (hrs),Run week planned,Ferm sequence,Comments
1,4,9,UPROD,41,FAM1,FAM,BXN,23322,7,1,17652.799997999,17663.333358,17654.999997999,17663.333358,80750.0,161500.0,80750.0,10.5333600009981,8.33336000100098,0.0,0.0,
1,4,9,UPROD,42,FAM2,FAM,BXN,23322,7,1,17652.799997999,17663.333358,17654.999997999,17663.333358,80750.0,161500.0,80750.0,10.5333600009981,8.33336000100098,,,
1,6,10,UPROD,72,UF 8_9,UF,BXN,23322,7,1,17654.999997999,17664.305751,17656.805982999,17664.305751,161500.0,4614.285713999,161500.0,9.30575300100099,7.4997680009983,,,
1,5,10,UPROD,58,V21 group,F+L,BXN,23322,7,1,17652.799997999,17664.305751,17654.999997999,17664.305751,80750.0,161500.0,161500.0,11.5057530009981,9.30575300100099,,,
1,5,10,UPROD,59,V28 group,F+L,BXN,23322,7,1,17652.799997999,17664.305751,17654.999997999,17664.305751,80750.0,161500.0,161500.0,11.5057530009981,9.30575300100099,,,
1,3,10,UPROD,25,V01A,Harvest tank V01,PBN,4630,8,1,17659.600028,17667.000027999,17662.000027999,17667.000027999,120000.0,120000.0,125000.0,7.39999999900101,5.0,0.0,0.0,
1,2,11,UPROD,12,E2,Harvest tank E,GOX,4591,18,0,17644.0,17669.0,17644.0,17669.0,25000.0,25000.0,28000.0,25.0,25.0,,,
1,3,13,UPROD,28,V01D,Harvest tank V01,BXN,23322,7,1,17654.999997999,17671.666996,17654.999997999,17671.666996,161500.0,161500.0,175000.0,16.666998001001,16.666998001001,0.0,0.0,
1,4,15,UPROD,41,FAM1,FAM,BXN,23322,7,1,17663.333358,17671.666996,17663.333635999,17671.666996,80750.0,161500.0,80750.0,8.33363800000006,8.33336000100098,0.0,0.0,Parallel FAM
1,4,15,UPROD,42,FAM2,FAM,BXN,23322,7,1,17663.333358,17671.666996,17663.333635999,17671.666996,80750.0,161500.0,80750.0,8.33363800000006,8.33336000100098,,,
1,6,16,UPROD,74,UF 14_15,UF,BXN,23322,7,1,17663.333635999,17671.865395,17664.365628,17671.865395,161500.0,4614.285713999,161500.0,8.53175900100177,7.49976700000116,,,
1,5,16,UPROD,60,V25 group,F+L,BXN,23322,7,1,17663.333358,17671.865395,17663.333635999,17671.865395,80750.0,161500.0,161500.0,8.53203700000086,8.53175900100177,,,
1,5,16,UPROD,61,V24,F+L,BXN,23322,7,1,17663.333358,17671.865395,17663.333635999,17671.865395,80750.0,161500.0,161500.0,8.53203700000086,8.53175900100177,,,
1,1,16,UPROD,2,V140,Fermenter,PBN,4629,8,0,17638.000027999,17670.000027999,17638.000027999,17662.000027999,72000.0,72000.0,72000.0,32.0,24.0,0.0,2.0,
1,0,16,UPROD,160,Ino tank 2,Inoculum,GPP,17235,9,0,17581.000055,17673.000055,17581.000055,17673.000055,90000.0,90000.0,90000.0,92.0,92.0,0.0,3.0,
1,3,16,UPROD,27,V01C,Harvest tank V01,MAX,14825,13,2,17663.9,17675.0,17675.0,17675.0,120000.0,120000.0,125000.0,11.0999999999985,0.0,0.0,0.0,
1,4,16,UPROD,44,MF1/2,MF,MAX,14825,13,2,17675.0,17675.021648,17675.0,17675.021648,8888.888888999,22222.222222,8888.888888999,0.0216480000017327,0.0216480000017327,0.0,0.0,
1,6,17,UPROD,73,UF 11_12,UF,MAX,14825,13,2,17659.163066,17675.034952,17659.195496,17675.034952,55555.555555999,4629.62963,22222.222222,15.8718860000008,15.8394560000015,,,
1,5,17,UPROD,59,V28 group,F+L,MAX,14825,13,2,17675.0,17675.034952,17675.0,17675.034952,8888.888888999,22222.222222,22222.222222,0.0349520000017947,0.0349520000017947,,,
1,4,17,UPROD,44,MF1/2,MF,MAX,14825,13,2,17675.021648,17675.076002999,17675.021925,17675.076002999,22222.222222,55555.555555999,22222.222222,0.05435499899977,0.0540779990005831,0.0,0.0,
1,6,18,UPROD,74,UF 14_15,UF,MAX,14825,13,2,17675.021925,17675.076002999,17675.041383,17675.076002999,55555.555555999,4629.62963,55555.555555999,0.0540779990005831,0.034619999001734,,,
1,5,18,UPROD,60,V25 group,F+L,MAX,14825,13,2,17675.021648,17675.076002999,17675.021925,17675.076002999,22222.222222,55555.555555999,55555.555555999,0.05435499899977,0.0540779990005831,,,
1,4,18,UPROD,44,MF1/2,MF,MAX,14825,13,2,17675.076002999,17675.130357999,17675.076281,17675.130357999,22222.222222,55555.555555999,22222.222222,0.0543550000002142,0.0540769990002445,0.0,0.0,
1,6,19,UPROD,73,UF 11_12,UF,MAX,14825,13,2,17675.076281,17675.143662999,17675.110332,17675.143662999,55555.555555999,4629.62963,55555.555555999,0.067381998997007,0.0333309989982808,,,
1,5,19,UPROD,59,V28 group,F+L,MAX,14825,13,2,17675.076002999,17675.143662999,17675.076281,17675.143662999,22222.222222,55555.555555999,55555.555555999,0.0676599999969767,0.067381998997007,,,
1,5,9,UPROD,61,V24,F+L,MAX,14825,13,1,17659.162788,17659.215494,17659.163066,17659.215494,13333.333333,33333.333333,33333.333333,0.0527059999985795,0.052427999999054,,,
1,4,9,UPROD,44,MF1/2,MF,MAX,14825,13,1,17659.162788,17659.195522999,17659.163066,17659.195522999,13333.333333,33333.333333,13333.333333,0.0327349990002404,0.0324569990007149,0.0,0.0,
1,3,8,UPROD,25,V01A,Harvest tank V01,MAX,14825,13,1,17659.0,17659.195522999,17659.0,17659.195522999,80000.0,80000.0,125000.0,0.195522999001696,0.195522999001696,0.0,0.0,
1,5,7,UPROD,60,V25 group,F+L,MAX,14825,13,1,17659.108433,17659.162788,17659.108711,17659.162788,22222.222222,55555.555555999,55555.555555999,0.0543550000002142,0.0540770000006887,,,
1,6,7,UPROD,74,UF 14_15,UF,MAX,14825,13,1,17659.108711,17659.162788,17659.128167999,17659.162788,55555.555555999,4629.62963,55555.555555999,0.0540770000006887,0.0346200010026223,,,
1,4,6,UPROD,44,MF1/2,MF,MAX,14825,13,1,17659.108433,17659.162788,17659.108711,17659.162788,22222.222222,55555.555555999,22222.222222,0.0543550000002142,0.0540770000006887,0.0,0.0,
1,5,6,UPROD,61,V24,F+L,MAX,14825,13,1,17659.054077,17659.121737,17659.054355,17659.121737,22222.222222,55555.555555999,55555.555555999,0.0676600000006147,0.0673820000010892,,,
1,6,6,UPROD,73,UF 11_12,UF,MAX,14825,13,1,17659.054355,17659.121737,17659.088406999,17659.121737,55555.555555999,4629.62963,55555.555555999,0.0673820000010892,0.0333300010024686,,,
1,4,5,UPROD,44,MF1/2,MF,MAX,14825,13,1,17659.054077,17659.108433,17659.054355,17659.108433,22222.222222,55555.555555999,22222.222222,0.0543560000005527,0.0540780000010272,0.0,0.0,
1,5,5,UPROD,60,V25 group,F+L,MAX,14825,13,1,17659.0,17659.054077,17659.0,17659.054077,22222.222222,55555.555555999,55555.555555999,0.0540770000006887,0.0540770000006887,,,
1,6,5,UPROD,73,UF 11_12,UF,MAX,14825,13,1,17659.0,17659.054077,17659.019457999,17659.054077,55555.555555999,4629.62963,55555.555555999,0.0540770000006887,0.0346190010022838,,,
1,4,4,UPROD,44,MF1/2,MF,MAX,14825,13,1,17659.0,17659.054077,17659.0,17659.054077,22222.222222,55555.555555999,22222.222222,0.0540770000006887,0.0540770000006887,0.0,0.0,
1,2,4,UPROD,13,E3,Harvest tank E,MAX,14825,13,0,17605.0,17659.0,17605.0,17659.0,20000.0,20000.0,28000.0,54.0,54.0,,,
1,3,3,UPROD,25,V01A,Harvest tank V01,MAX,14825,13,1,17605.0,17659.0,17625.0,17659.0,80000.0,80000.0,125000.0,54.0,34.0,0.0,0.0,
1,3,3,UPROD,28,V01D,Harvest tank V01,BXN,23322,7,1,17621.7,17654.999997999,17627.0,17654.999997999,161500.0,161500.0,175000.0,33.2999979989982,27.9999979989989,0.0,0.0,
1,0,3,UPROD,159,Ino tank 1,Inoculum,PBN,4629,8,0,17608.000027999,17638.000027999,17608.000027999,17638.000027999,72000.0,72000.0,72000.0,30.0,30.0,0.0,2.0,
1,1,3,UPROD,2,V140,Fermenter,BXN,20322,7,0,17574.0,17635.0,17574.0,17627.0,87000.0,87000.0,87000.0,61.0,53.0,0.0,1.0,
1,2,2,UPROD,14,E4,Harvest tank E,MAX,14825,13,0,17605.0,17625.099999999,17621.0,17625.099999999,20000.0,20000.0,28000.0,20.0999999990017,4.09999999900174,,,
1,2,1,UPROD,12,E2,Harvest tank E,BXN,23322,7,0,17574.0,17621.7,17574.0,17621.7,0.0,0.0,28000.0,47.7000000000007,47.7000000000007,,,
1,0,0,UPROD,163,Ino tank 5,Inoculum,EDP-MF,25004,1,0,17514.0,17584.0,17514.0,17584.0,72000.0,72000.0,72000.0,70.0,70.0,0.0,1.0,
1,0,0,UPROD,162,Ino tank 4,Inoculum,BXN,20322,7,0,17541.0,17574.0,17541.0,17574.0,87000.0,87000.0,87000.0,33.0,33.0,0.0,1.0,
1,0,0,UPROD,161,Ino tank 3,Inoculum,MAX,4631,13,0,17450.0,17564.0,17450.0,17564.0,200000.0,200000.0,200000.0,114.0,114.0,0.0,1.0,
1,0,0,UPROD,160,Ino tank 2,Inoculum,GOX,4589,18,0,17493.0,17554.0,17493.0,17554.0,205000.0,205000.0,205000.0,61.0,61.0,0.0,1.0,
1,0,0,UPROD,159,Ino tank 1,Inoculum,XEA,15253,23,0,17488.0,17544.0,17488.0,17544.0,40000.0,40000.0,40000.0,56.0,56.0,0.0,1.0,
1,4,19,UPROD,44,MF1/2,MF,MAX,14825,13,2,17675.130357999,17675.184713999,17675.130636,17675.184713999,22222.222222,55555.555555999,22222.222222,0.0543559999969148,0.0540779989969451,0.0,0.0,
1,5,34,UPROD,58,V21 group,F+L,PBN,4630,8,1,17667.000027999,17693.664897999,17667.000027999,17693.664897999,120000.0,200399.999879999,200399.999879999,26.6648699999969,26.6648699999969,,,
1,3,34,UPROD,26,V01B,Harvest tank V01,GOX,4591,18,1,17688.999999,17693.664926,17688.999999,17689.016666,53658.536585,53658.536585,125000.0,4.66492700000163,0.0166669999998703,0.0,0.0,Waiting
1,6,36,UPROD,73,UF 11_12,UF,EDP-MF,14915,1,1,17681.0,17698.650225,17681.01363,17698.650225,83280.0,1850.666667,83280.0,17.6502250000012,17.6365949999999,,,
1,5,36,UPROD,59,V28 group,F+L,EDP-MF,14915,1,1,17681.0,17698.650225,17681.0,17698.650225,24000.0,83280.0,83280.0,17.6502250000012,17.6502250000012,,,
1,6,37,UPROD,74,UF 14_15,UF,EDP-MF,14915,1,1,17681.032738,17698.677121,17681.040527,17698.677121,83280.0,1850.666667,83280.0,17.6443829999989,17.6365939999996,,,
1,5,37,UPROD,60,V25 group,F+L,EDP-MF,14915,1,1,17681.032459999,17698.677121,17681.032738,17698.677121,24000.0,83280.0,83280.0,17.6446610009989,17.6443829999989,,,
1,1,37,UPROD,1,V100,Fermenter,EDP-MF,25004,1,0,17584.0,17696.0,17584.0,17681.0,72000.0,72000.0,72000.0,112.0,97.0,0.0,1.0,
1,0,37,UPROD,159,Ino tank 1,Inoculum,ASG,14469,2,0,17648.000027999,17699.000027999,17648.000027999,17699.000027999,70000.0,70000.0,70000.0,51.0,51.0,0.0,2.0,
1,6,38,UPROD,75,UF 7,UF,EDP-MF,14915,1,1,17681.065476,17699.482509,17681.079106,17699.482509,83280.0,1850.666667,83280.0,18.4170330000015,18.4034030000003,,,
1,5,38,UPROD,61,V24,F+L,EDP-MF,14915,1,1,17681.065198,17699.482509,17681.065476,17699.482509,24000.0,83280.0,83280.0,18.4173110000011,18.4170330000015,,,
1,7,39,UPROD,86,V301,V300,EDP-MF,14915,1,1,17681.065476,17700.482509,17681.065476,17699.482509,5552.0,5552.0,22500.0,19.4170330000015,18.4170330000015,0.0,0.0,
1,3,40,UPROD,26,V01B,Harvest tank V01,GOX,4591,18,1,17693.664926,17702.864085,17693.664926,17702.864085,53658.536585,53658.536585,125000.0,9.19915899999978,9.19915899999978,0.0,0.0,
1,4,41,UPROD,41,FAM1,FAM,GOX,4591,18,1,17686.999999,17702.864085,17693.664926,17702.864085,53658.536585,68682.926829,53658.536585,15.8640860000014,9.19915899999978,0.0,0.0,
1,7,42,UPROD,87,V302,V300,PBN,4630,8,1,17693.664897999,17706.664896999,17693.664897999,17705.664896999,1908.571427,1908.571427,22500.0,12.9999989999997,11.9999989999997,0.0,0.0,
1,5,42,UPROD,58,V21 group,F+L,GOX,4591,18,1,17693.664926,17714.612856,17693.664926,17714.612856,53658.536585,68682.926829,68682.926829,20.9479299999985,20.9479299999985,,,
1,3,42,UPROD,27,V01C,Harvest tank V01,GOX,4591,18,2,17681.799999999,17716.0,17696.0,17716.0,125000.0,125000.0,125000.0,34.2000000010012,20.0,0.0,0.0,
1,3,42,UPROD,28,V01D,Harvest tank V01,GOX,4591,18,3,17681.799999999,17716.0,17696.0,17716.0,41341.463414999,41341.463414999,175000.0,34.2000000010012,20.0,0.0,0.0,
1,2,43,UPROD,11,E1,Harvest tank E,XEA,15255,23,0,17544.0,17717.7,17544.0,17717.7,0.0,0.0,28000.0,173.700000000001,173.700000000001,,,
1,1,44,UPROD,4,V218,Fermenter,GOX,4589,18,0,17554.0,17720.0,17554.0,17696.0,205000.0,205000.0,205000.0,166.0,142.0,0.0,1.0,
1,0,44,UPROD,162,Ino tank 4,Inoculum,EDX,4681,19,0,17663.000027999,17723.000027999,17663.000027999,17723.000027999,260000.0,260000.0,260000.0,60.0,60.0,0.0,2.0,
1,3,45,UPROD,28,V01D,Harvest tank V01,GOX,4591,18,3,17716.0,17723.08754,17716.0,17723.08754,41341.463414999,41341.463414999,175000.0,7.08754000000044,7.08754000000044,0.0,0.0,
1,4,46,UPROD,42,FAM2,FAM,GOX,4591,18,3,17714.0,17723.08754,17716.0,17723.08754,41341.463414999,52917.073170999,41341.463414999,9.08754000000044,7.08754000000044,0.0,0.0,
1,4,46,UPROD,41,FAM1,FAM,GOX,4591,18,2,17714.0,17725.659115999,17716.0,17725.659115999,56341.463414999,72117.073170999,56341.463414999,11.6591159989985,9.65911599899846,0.0,0.0,
1,5,46,UPROD,60,V25 group,F+L,GOX,4591,18,3,17714.0,17731.20644,17716.0,17731.20644,41341.463414999,52917.073170999,52917.073170999,17.2064400000017,15.2064400000017,,,
1,6,20,UPROD,74,UF 14_15,UF,MAX,14825,13,2,17675.130636,17675.184713999,17675.150094,17675.184713999,55555.555555999,4629.62963,55555.555555999,0.0540779989969451,0.034619998998096,,,
1,5,20,UPROD,60,V25 group,F+L,MAX,14825,13,2,17675.130357999,17675.184713999,17675.130636,17675.184713999,22222.222222,55555.555555999,55555.555555999,0.0543559999969148,0.0540779989969451,,,
