ID,SKU Interm1,Name,MF,Fermenter,Activity density (U/g),Batch weight (kg),BU EoR,SKU EoF,Weight ratio (kg EoR/kg EoF),Broth killing (hrs),Broth killing in,Harvest tanks__Broth preparation (hrs),Harvest tanks__Process extra (hrs),Harvest tanks__Post (hrs),Harvest tanks__End weight (kg),FAM or MF__Prep (hrs),FAM or MF__Process (kg/hr/sqm),FAM or MF__Post (hrs),FAM or MF__Weight factor (at F+L),FAM or MF__Weight (kg at F+L),FAP1__Filter preps (#),FAP1__Filter prep process (hrs),UF__UF fractions (#),UF__Prep (hrs),UF__Process (kg/hr/sqm),UF__Post (hrs),UF__End weight factor,UF__Weight ccUF (kg),Stab__Process (hrs),Stab__In V300,Stab__End weight factor,Stab__Weight ccUFSTAB (kg),Stab__Transfer to IBC (hrs),Recipe not in use,UF__DCO (tons/hr),UF__Nitrogen (kg/hr),UF__Phosphorus (kg/hr),FAM or MF__Parallel,Comments
1,10532,CPG ccUF,0,V100,6601.125,7000,46.207875,10535,,5,Etanks & Fermenter,0,0,0,150000,0,40.38,0,1.75,262500.0,1,2,2,0,6.73,0,38.0,6907.8947368421,4,,1.0,6907.8947368421,1,False,0.069,4.615,3.846,,
2,10532,CPG ccUF,0,V140,6601.125,9800,64.691025,10535,,5,Etanks & Fermenter,0,0,0,210000,0,40.38,0,1.75,367500.0,1,2,2,0,6.73,0,38.0,9671.05263157895,4,,1.0,9671.05263157895,1,False,0.049,3.297,2.746999999,,
3,10532,CPG ccUF,0,V200,6601.125,15260,100.7331675,10535,,5,Etanks & Fermenter,0,0,0,327000,0,40.38,0,1.75,572250.0,1,2,4,0,6.73,0,38.0,15059.2105263158,4,,1.0,15059.2105263158,1,False,0.064,4.234,3.528999999,,
4,10532,CPG ccUF,0,V218,6601.125,15260,100.7331675,10535,,5,Etanks & Fermenter,0,0,0,327000,0,40.38,0,1.75,572250.0,1,2,4,0,6.73,0,38.0,15059.2105263158,4,,1.0,15059.2105263158,1,False,0.064,4.234,3.528999999,,
5,10993,MAM ccUF,0,V100,24110.0,11000,265.21,10998,,8,Etanks & Fermenter,24,0,0,204000,0,34.0,0,1.449999999,295799.999796,1,2,3,0,6.99,0,32.77777778,9024.40677282546,4,,1.0,9024.40677282546,1,False,0.151,7.610999999,0.667,Can have 2,
6,10993,MAM ccUF,0,V140,24110.0,15400,371.294,10998,,8,Etanks & Fermenter,24,0,0,290000,0,34.0,0,1.449999999,420499.99971,1,2,4,0,5.219999999,0,36.25,11599.999992,4,,1.0,11599.999992,1,False,0.151,7.610999999,0.667,Can have 2,
7,10993,MAM ccUF,0,V200,24110.0,23980,578.1578,10998,,8,Etanks & Fermenter,24,0,0,384552,0,48.25,0,1.639999999,630665.279615448,1,2,6,0,5.36,0,26.0,24256.3569082865,4,,1.0,24256.3569082865,1,False,0.139,6.982999999,0.612,Can have 2,
8,10993,MAM ccUF,0,V218,24110.0,23980,578.1578,10998,,8,Etanks & Fermenter,24,0,0,384552,0,48.25,0,1.639999999,630665.279615448,1,2,6,0,5.36,0,26.0,24256.3569082865,4,,1.0,24256.3569082865,1,False,0.139,6.982999999,0.612,Can have 2,
9,11010,"FURORE CCUF, l",0,V100,11754.4,5917,69.5507848,10996,,20,V01,20,0,0,112385,0,43.0,0,1.76,197797.6,1,2,1,0,5.12,0,33.0,5993.86666666667,4,,1.0,5993.86666666667,1,False,0.119,4.982999999,0.623,Must have 2,
10,11010,"FURORE CCUF, l",0,V140,11754.4,8284,97.3734496,10996,,20,V01,20,0,0,157339,0,43.0,0,1.76,276916.64,1,2,1,0,5.12,0,33.0,8391.41333333333,4,,1.0,8391.41333333333,1,False,0.025,1.058999999,0.32,Must have 2,
