Year;Machine;PROD;tprep (hrs);tferm (hrs);t_CIP (hrs);total_ferm
2023;F200;INV;14,58333333;67,9;10,58333333;93,06666667
2023;F100;EDP;8,5;69,81666667;18,3;96,61666667
2023;F140;ARF;6,033333333;155,75;21,26666667;183,05
2023;F218;EDP;11,43333333;123,3666667;6,5;141,3
2023;F200;FUM;9,383333333;101,45;9,666666667;120,5
2023;F100;ROM;11,91666667;93,51666667;19,25;124,6833333
2023;F218;GOX;9,666666667;90,25;17,75;117,6666667
2023;F200;GPP;9,216666667;85,76666667;25,03333333;120,0166667
2023;F140;FDA;24,25;131;11,63333333;166,8833333
2023;F100;FUR;10,93333333;53,33333333;23,26666667;87,53333333
2023;F200;MAX;10,91666667;97,56666667;8,75;117,2333333
2023;F218;GOX;13,63333333;83,05;32,36666667;129,05
2023;F140;FUM;10,23333333;100,8333333;10,33333333;121,4
2023;F200;PLA;9,7;139,1333333;21,63333333;170,4666667
2023;F218;ASG;12,6;110,15;12,96666667;135,7166667
2023;F100;XYL;11,5;47,11666667;10,45;69,06666667
2023;F140;BGF;13,81666667;82,86666667;17,95;114,6333333
2023;F100;FUR;19,48333333;59,13333333;13,4;92,01666667
2023;F218;EDX;13,88333333;110,1;9,066666667;133,05
2023;F200;ASP;12,75;81,16666667;19,06666667;112,9833333
2023;F100;EDP;10,8;62,53333333;29,45;102,7833333
2023;F218;TAN;16;85,2;16,11666667;117,3166667
2023;F140;PBN;45,91666667;24,03333333;10,25;80,2
2023;F200;CIN;11,08333333;97,33333333;29,81666667;138,2333333
2023;F100;FUR;21,13333333;53,73333333;13,78333333;88,65
2023;F218;GOX;10,68333333;81,41666667;18,28333333;110,3833333
2023;F100;FDA;28,03333333;149,4;7,783333333;185,2166667
2023;F200;MAX;14,03333333;95,5;8,4;117,9333333
2023;F218;LYX;17,2;135,15;6,766666667;159,1166667
2023;F140;PNR;11,25;32,85;33,21666667;77,31666667
2023;F200;GPP;9,566666667;80,73333333;24,28333333;114,5833333
2023;F100;FUR;11,45;63,01666667;15,68333333;90,15
2023;F218;FRO;13,73333333;95,06666667;10,06666667;118,8666667
2023;F200;EDP;14,73333333;133,2833333;6,683333333;154,7
2023;F218;EDX;16,51666667;108,35;19,08333333;143,95
2023;F140;FUM;13,88333333;100,05;14,53333333;128,4666667
2023;F200;TAN;11,56666667;81,93333333;14,71666667;108,2166667
2023;F218;ASG;15,9;114,9;9,45;140,25
2023;F140;BGF;8,716666667;74,85;12,73333333;96,3
2023;F100;ARO;15,76666667;146,4166667;7,933333333;170,1166667
2023;F200;GOX;15,96666667;90,45;12,26666667;118,6833333
2023;F140;ROM;17,43333333;84,91666667;16,16666667;118,5166667
2023;F200;TAN;14,88333333;88,2;9,183333333;112,2666667
2023;F218;EDP;12,51666667;115,1;16,31666667;143,9333333
2023;F140;MAM;12,01666667;69,1;17,85;98,96666667
2023;F100;BXN;9,783333333;35,76666667;13,41666667;58,96666667
2023;F200;PLA;10,26666667;157,0666667;27,58333333;194,9166667
2023;F100;FUR;17,66666667;51,11666667;25,2;93,98333333
2023;F140;NBA;15;93,71666667;25;133,7166667
2023;F218;TAN;9,766666667;102,2333333;66,58333333;178,5833333
2023;F100;ARF;9;164,5;13,31666667;186,8166667
2023;F200;GPP;9,766666667;85,55;83,81666667;179,1333333
2023;F218;ASP;11,16666667;72,78333333;14,75;98,7
2023;F140;ROM;11,66666667;94,3;20,46666667;126,4333333
2023;F200;GPP;7,366666667;86,6;28,93333333;122,9
2023;F100;EPG;27,43333333;127,6833333;10,21666667;165,3333333
2023;F218;TAN;9,916666667;94,55;9;113,4666667
2023;F200;GPP;14,75;83,85;26,56666667;125,1666667
2023;F218;EDP;14,55;122,4666667;11,23333333;148,25
2023;F100;FUR;15,55;51,83333333;27,51666667;94,9
2023;F140;MAM;10,8;84,88333333;31,36666667;127,05
2023;F200;TAN;9,9;90,38333333;20,16666667;120,45
2023;F218;PLA;10,28333333;127,5833333;19,41666667;157,2833333
2023;F100;GOP;11,78333333;38,2;27;76,98333333
2023;F140;ROM;12,13333333;90,11666667;19,08333333;121,3333333
2023;F200;MAX;11,16666667;110,5;10,1;131,7666667
2023;F218;GOX;11,4;101;13,61666667;126,0166667
