,SKU Interm 1,SKU EoF,Enzyme,Fermenter,Batch weight (kg),Total fractions (kg),Fractions (#),fermentation_prep,fermentation_time,fermentation_post,harvesting_time,FAM/MF_time,UF_time,stab_time,UF_fractions,UF__Weight ccUF (kg),MF,Stab,lag_receival_fraction,Etanks required (#),min_number_fractions_start_FAM,lag_start_fam,UF_lag,key
0,10532,10535,CPG,V100,125000.0,60000.0,5.0,14.0,153.0,6.0,0,18.573551263001484,32.503714710252595,4,2,6907.8947368421,0,0,70.0,0.0,10.0,135.0,8.66765725606736,0
1,10532,10535,CPG,V140,125000.0,60000.0,5.0,14.0,153.0,6.0,0,26.002971768202077,45.50520059435364,4,2,9671.05263157895,0,0,70.0,0.0,10.0,135.0,8.66765725606736,1
4,10993,10998,MAM,V100,104000.0,60000.0,6.0,12.0,93.0,15.0,24,20.0,23.509775854077255,4,3,9024.40677282546,0,0,25.0,0.0,12.0,75.0,10.294117647058824,2
5,10993,10998,MAM,V140,144000.0,84000.0,7.0,12.0,93.0,15.0,24,21.323529411764707,33.564814798096705,4,4,11599.999992,0,0,28.0,0.0,10.0,82.0,10.294117647058824,3
6,10993,10998,MAM,V200,215000.0,132000.0,6.0,12.0,93.0,15.0,24,13.283316062176166,32.68373132335448,4,6,24256.3569082865,0,0,15.0,0.0,5.0,65.0,7.253886010362694,4
7,10993,10998,MAM,V218,215000.0,132000.0,6.0,12.0,93.0,15.0,24,13.283316062176166,32.68373132335448,4,6,24256.3569082865,0,0,15.0,0.0,5.0,65.0,7.253886010362694,5
8,11010,10996,FUR,V100,70000.0,0.0,0.0,15.0,54.0,15.0,40,26.136046511627907,64.38723958333334,4,1,5993.86666666667,0,0,False,2.0,inf,False,8.13953488372093,6
10,11010,10996,FUR,V200,154000.0,0.0,0.0,15.0,54.0,15.0,40,28.488372093023255,70.18229166666667,4,2,13066.6666666667,0,0,False,2.0,inf,False,8.13953488372093,7
11,11010,10996,FUR,V218,154000.0,0.0,0.0,15.0,54.0,15.0,40,28.488372093023255,70.18229166666667,4,2,13066.6666666667,0,0,False,2.0,inf,False,8.13953488372093,8
12,11905,11901,EDP,V100,91750.0,48000.0,4.0,12.0,147.0,12.0,7,12.620032606480539,52.68052952760778,4,2,9710.0752,0,0,80.0,0.0,10.0,120.0,7.132667617689016,9
14,11905,11901,EDP,V200,200000.0,80000.0,4.0,12.0,140.0,15.0,7,13.755858976971673,57.42187501495361,4,4,21168.0,0,0,60.0,0.0,6.0,120.0,7.132667617689016,10
15,11905,11901,EDP,V218,200000.0,80000.0,4.0,12.0,140.0,15.0,7,13.755858976971673,32.33137829912023,4,4,21168.0,0,0,60.0,0.0,6.0,120.0,7.132667617689016,11
16,12073,11901,EDP,V100,91750.0,48000.0,4.0,12.0,147.0,12.0,7,12.620032606480539,52.68052952760778,4,2,9710.0752,0,1,80.0,0.0,10.0,120.0,7.132667617689016,12
18,12073,11901,EDP,V200,200000.0,80000.0,4.0,12.0,140.0,15.0,7,13.755858976971673,57.42187501495361,4,4,21168.0,0,1,60.0,0.0,6.0,120.0,7.132667617689016,13
19,12073,11901,EDP,V218,200000.0,80000.0,4.0,12.0,140.0,15.0,7,13.755858976971673,57.42187501495361,4,4,21168.0,0,1,60.0,0.0,6.0,120.0,7.132667617689016,14
20,13102,13106,MXB,V100,55000.0,0.0,0.0,16.0,138.0,15.0,0,13.548827764445265,22.080513093365507,4,1,2782.14464945595,0,1,False,0.0,inf,False,6.461140852870592,15
22,13102,13106,MXB,V200,130000.0,0.0,0.0,16.0,138.0,15.0,0,14.768321949418498,24.06792173024008,4,2,6065.11627534884,0,1,False,0.0,inf,False,6.461140852870592,16
23,13102,13106,MXB,V218,130000.0,0.0,0.0,16.0,138.0,15.0,0,14.768321949418498,24.06792173024008,4,2,6065.11627534884,0,1,False,0.0,inf,False,6.461140852870592,17
24,13136,13133,TAN,V100,69000.0,0.0,0.0,10.0,90.0,7.0,22,9.79619312906221,29.850672547282127,4,2,8776.09772727273,0,0,False,0.0,inf,False,6.499535747446611,18
26,13136,13133,TAN,V200,151000.0,0.0,0.0,10.0,86.0,10.0,22,10.677808727948003,32.53710575742804,4,4,19131.8181818182,0,0,False,0.0,inf,False,6.499535747446611,19
27,13136,13133,TAN,V218,151000.0,0.0,0.0,10.0,86.0,10.0,24,19.49999999879609,27.73358584826772,4,4,23961.8181749364,0,0,False,0.0,inf,False,11.869565216658488,20
28,13140,13106,MXB,V100,55000.0,0.0,0.0,16.0,138.0,15.0,0,13.548827764445265,22.080513093365507,4,1,2782.14464945595,0,0,False,0.0,inf,False,6.461140852870592,21
